Flux Density (Jy/b),REDSHIFT
0.00781,1.8315999507904100
-0.00046,1.7773000001907300
-0.0001,1.8324999809265100
-0.00023,2.0341999530792200
0.00003,1.867400050163270
-0.00066,1.6830999851226800
0.00084,1.8516000509262100
0.03297,2.0418999195098900
0.13035,1.8006999492645300
0.00044,1.7240999937057500
-0.00069,1.815600037574770
-0.00004,2.0638999938964800
-0.0008,1.8646999597549400
0.00025,1.7115999460220300
0.00003,1.81659996509552
-0.00037,1.6830999851226800
-0.00036,1.738700032234190
-0.00024,1.6995999813079800
0.00047,1.7093000411987300
-0.00016,1.7829999923706100
-0.00025,1.718400001525880
0.00069,1.7273000478744500
0.00038,1.8782999515533400
0,1.813599944114690
-0.00001,1.7218999862670900
-0.00056,1.725000023841860
-0.00012,2.036600112915040
-0.0003,1.9641000032424900
-0.0007,2.051300048828130
-0.00113,2.0051000118255600
0.00047,2.00219988822937
0.00053,1.7109999656677200
0.06102,2.0227999687194800
-0.00057,1.7639000415802000
0.00022,1.6700999736785900
0.00023,1.8300000429153400
-0.00044,1.7417999505996700
0.00016,1.7755000591278100
-0.00029,1.74399995803833
0.00009,1.9515999555587800
0.00155,1.9247000217437700
-0.00031,2.0206000804901100
0.00046,2.0025999546051000
0.00059,1.7598999738693200
0.00067,1.9407999515533400
0.09934,1.9812999963760400
0.00907,1.9426000118255600
0.00003,1.7157000303268400
0.00014,1.7628999948501600
-0.00033,2.01200008392334
-0.00027,2.077899932861330
-0.00031,1.7633999586105300
0.00123,1.7682000398635900
0.00006,1.9713000059127800
-0.00065,1.6875
0.0003,1.7656999826431300
-0.00014,1.830199956893920
0.17022,1.7984000444412200
-0.00001,2.0490000247955300
-0.00055,1.6999000310897800
-0.00014,1.8720999956131000
0.00082,1.8068000078201300
0.0205,1.8432999849319500
0.00055,1.6438000202179000
0.00028,2.064199924468990
0.00071,1.7813999652862500
0.00115,2.02839994430542
0.00008,2.0100998878479000
-0.00054,1.8234000205993700
-0.00006,1.8585000038147000
0.0004,1.6958999633789100
0.00079,1.9444999694824200
-0.00041,1.7734999656677200
0.00051,1.823699951171880
-0.00062,1.7736999988555900
-0.00043,1.9664000272750900
-0.00025,1.972100019454960
0.00011,1.6751999855041500
0.00126,1.6617000102996800
0.00026,1.680999994277950
0.0003,1.6591999530792200
0.00057,1.9223999977111800
0.00062,1.8091000318527200
0.00045,1.81659996509552
0.00038,1.878499984741210
0.00009,1.7308000326156600
0.0002,2.044100046157840
0.0009,1.829800009727480
0.00046,1.776900053024290
0.00474,1.9606000185012800
0.00044,1.645300030708310
0.00011,1.857200026512150
0.00067,1.9047000408172600
-0.00065,1.8868999481201200
-0.00073,1.8980000019073500
-0.00066,1.8687000274658200
0.0007,1.7506999969482400
0.00087,1.7533999681472800
0.00031,1.8847999572753900
-0.00055,1.833299994468690
-0.00041,1.9602999687194800
-0.00039,1.7563999891281100
-0.00008,1.711899995803830
0.00047,2.015700101852420
-0.00009,1.7188999652862500
0.0005,1.969499945640560
0.00087,1.8973000049591100
0.00013,1.6505999565124500
0.00018,2.0387001037597700
0.00073,1.6409000158309900
-0.00061,1.9003000259399400
-0.00048,1.6469000577926600
0.0052,1.8848999738693200
0.00088,1.7746000289917000
-0.00095,1.7354999780654900
0.0002,2.0364999771118200
0.00058,1.867400050163270
0.00026,1.813099980354310
-0.0002,1.9952000379562400
0.00005,1.919700026512150
0.00026,1.8774000406265300
0.00115,1.7517999410629300
0.00019,1.6670000553131100
0.00085,1.6796000003814700
0.00227,1.6561000347137500
-0.00044,1.8809000253677400
0.00002,1.764799952507020
-0.00094,1.8150999546051000
-0.00162,1.8042999505996700
0.00063,1.8876999616622900
0.00025,1.662600040435790
-0.00083,1.920799970626830
0.00868,1.989400029182430
0.00088,1.6513999700546300
0.00022,2.0067999362945600
-0.00114,1.7309000492095900
-0.00043,1.782099962234500
0.00689,1.952299952507020
-0.00014,2.0453999042511000
0.00046,1.7920000553131100
0.00114,2.0590999126434300
-0.00045,1.7242000102996800
-0.00025,1.8199000358581500
0.00003,1.9598000049591100
-0.0004,2.020699977874760
-0.0005,1.6805000305175800
-0.00006,1.729699969291690
0.00113,2.0450000762939500
0.00035,1.8323999643325800
-0.00016,1.8722000122070300
-0.00051,2.07669997215271
0.00006,1.906999945640560
-0.00014,1.6627999544143700
0.00037,1.6897000074386600
0.00053,1.7253999710083000
0.00087,1.8853000402450600
0.00004,1.7401000261306800
-0.00017,1.74399995803833
0.00065,1.8868000507354700
-0.00156,1.7654999494552600
-0.00025,1.7646000385284400
-0.00036,1.878999948501590
-0.0002,1.98580002784729
-0.00059,2.0378000736236600
-0.00025,2.0615999698638900
-0.00095,1.6826000213623000
0.00004,2.050100088119510
-0.00102,1.874500036239620
0.00027,1.8726999759674100
0.00077,1.6543999910354600
0.00025,1.86489999294281
-0.00032,1.8552000522613500
0.0004,1.6533000469207800
0.00034,1.6556999683380100
