col1,Name_1,SDSSName,RAobs_1,RAoff,DECobs_1,DECoff,sz_maj,szmajerr,sz_min,szminerr,PA,PAerr,IFimfit,IFerrimfit,PFimfit,PFerrimfit,IFimfitSF,IFerrimfitSF,PFimfitSF,PFerrimfitSF,Flux,FluxErr,Detection,Freq.,RO_Offset,RMS,PF,PF_err,IF,IF_err,S/N,Resolved,SelfCal,Flags,SB,RAobs_Kell,Decobs_Kell,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i,I_2a,MI_Z2,LOGL2500,R,LD_cm,Lrad_K&R_Kell,Lrad_K&R_McC,LD_cm_H070,LD_cm_H070_Om7,LD_cm_H070_Om3,Lrad_K&R_Kell_Om3,Lrad_K&R_MCC_Om3,Lobs,L_1.4GHz,SFR (Msun/yr)
150,1521+5940,152153.80+594020.0,152153.777,-0.345,594020.166,0.17,987.0,262.0,648.0,148.0,126.0,21.0,108.0,32.0,22.5,5.5,0.0,0.0,0.0,0.0,108.0,32.0,1.0,5.998819,0.384610192272644,6.9,28.7,5.9,28.7,5.9,4.159420289855070,,,,2,152153.829,594020.26,0.34,0.28600000000000000,42.9,8.8,42.9,8.8,1.0,22.01,17.679000000000000,-22.6,-23.6365119488135,29.61379482182870,0.14,4.59248291660373E+27,28.689005086258400,29.0899715495607,4.20998386899262E+27,4.20998386899262E+27,4.53516978871925E+27,22.0776265486157,22.4785930119179,22.4458207213414,22.9647056496469,54.3948346961695
156,1534+4658,153415.05+465819.2,153415.057,0.105,465819.261,0.06,583.0,149.0,340.0,57.0,135.0,12.0,29.7,9.5,18.7,3.9,0.0,0.0,0.0,0.0,29.7,9.5,1.0,5.998913,0.12093386622447800,6.4,20.9,3.2,20.9,3.2,3.265625,,,,2,153415.093,465818.98,0.5,0.282,66.2,5.5,66.2,5.5,1.0,22.18,17.5,-22.75,-23.767655062267100,29.6662520672102,0.18,4.51863254790691E+27,28.8637306200798,28.5156290799573,4.14611567532631E+27,4.14611567532631E+27,4.46240704566743E+27,22.2515726262715,21.903471086149,21.8711046785942,22.3890425465159,14.4508887673734
157,1535+5644,153539.25+564406.5,153539.25,0.0,564406.454,-0.05,422.0,28.0,381.0,23.0,3.2,24.0,150.0,15.0,123.6,7.7,27.3,8.1,26.5,4.6,177.3,17.0472871742104,1.0,5.998834,0.05,6.5,125.4,7.3,135.0,13.0,19.2923076923077,,,,2,153539.198,564406.18,0.54,0.207,126.0,15.5,126.0,15.5,1.0,22.16,16.672,-22.91,-23.5772660384091,29.590096457667,0.16,3.18045093413941E+27,28.846060749728100,28.994398940211400,2.9716279629375E+27,2.9716279629375E+27,3.14310869976460E+27,22.2188113915878,22.2945321055259,22.342637401042,22.8422487404039,41.0299277341138
158,1539+5042,153941.49+504255.7,153941.49300000000,0.045,504255.697,0.0,377.0,42.0,336.0,34.0,121.0,34.0,51.2,9.5,51.4,5.5,0.0,0.0,0.0,0.0,51.2,9.5,1.0,5.998878,0.045,6.3,55.0,4.9,48.4,7.8,8.730158730158730,,,,2,153941.501,504255.8,0.15,0.203,61.9,5.5,61.9,5.5,1.0,21.83,16.725,-22.81,-23.4731764567003,29.548460624983400,0.08,3.11164473792253E+27,28.518815960467900,28.43639527242360,2.91027603052832E+27,2.91027603052832E+27,3.075228858937E+27,21.8907350843776,21.8083143963333,21.7842347081314,22.2828368975631,11.315895005545
162,1556+5215,155620.23+521520.0,155620.245,0.225,521520.006,0.01,448.3,11.3,367.2,7.7,153.8,4.3,352.0,13.0,273.9,6.3,0.0,0.0,0.0,0.0,352.0,13.0,1.0,5.998854,0.225222112591104,6.7,274.4,6.7,348.0,14.0,40.955223880597,,,,2,155620.217,521520.2,0.23,0.227,296.0,21.9,296.0,21.9,1.0,22.62,16.87,-22.91,-23.611420860510500,29.6037583865075,0.46,3.52846020953655E+27,29.3050337764726,29.3802847288918,3.28040439760424E+27,3.28040439760423E+27,3.48636340376342E+27,22.6819002522029,22.7571512046221,22.730497835804,23.2351052800067,101.381168298612
163,1605+4834,160507.92+483422.1,160507.927,0.105,483422.124,0.02,1050.0,370.0,490.0,120.0,149.0,12.0,101.0,37.0,25.9,7.6,0.0,0.0,0.0,0.0,101.0,37.0,1.0,5.998875,0.10688779163216,7.0,39.6,7.2,41.0,13.0,5.657142857142860,,,,2,160507.913,483422.62,0.52,0.295,79.9,6.3,79.9,6.3,1.0,22.31,16.775,-23.57,-24.607381671005300,30.0021427107054,0.11,4.75953286731232E+27,28.9892194949465,29.0909940894151,4.35412062133923E+27,4.35412062133923E+27,4.69974292190665E+27,22.3795857788174,22.4813603732861,22.4476794427609,22.9686845309468,54.8954744044756
168,1619+5011,161911.24+501109.2,161911.25,0.15,501109.243,0.04,781.0,148.0,350.0,39.0,126.0,5.1,65.0,14.0,30.8,4.5,0.0,0.0,0.0,0.0,65.0,14.0,1.0,5.99885,0.1552417469626,6.4,30.3,5.9,48.0,13.0,4.734375,,,,2,161911.253,501109.58,0.4,0.234,41.7,4.7,41.7,4.7,1.0,21.8,16.991,-22.86,-23.7290728738026,29.650819191824400,0.07,3.65181099874317E+27,28.4829830774259,28.67576037909500,3.3892562482169E+27,3.3892562482169E+27,3.6080017530568E+27,21.8612739466752,22.0540512483443,22.0266567004351,22.5329935625169,20.1300833982228
28,0942+3451,094254.05+345133.1,94254.056,0.09,345133.136,0.04,459.0,33.0,358.0,20.0,95.4,9.1,117.0,12.0,105.6,6.7,0.0,0.0,0.0,0.0,117.0,12.0,1.0,5.9986740000000000,0.098488578017961,7.3,107.0,6.9,111.0,12.0,14.6575342465753,,,,3,94254.026,345133.13,0.3,0.278,155.0,11.9,155.0,11.9,1.0,22.54,17.594,-22.63,-23.614586383639700,29.6050245957592,0.47,4.44502633008107E+27,29.219346103450000,29.0972002670259,4.0823670890438E+27,4.0823670890438E+27,4.38988033100131E+27,22.6064061812406,22.4842603448165,22.4523010886697,22.9692889366391,54.9719253771168
29,0943+2805,094305.15+280536.1,94305.151,0.015,280536.132,0.03,471.0,71.0,398.0,52.0,103.0,31.0,56.0,13.0,42.7,6.0,0.0,0.0,0.0,0.0,56.0,13.0,1.0,5.998713,0.0335410196624968,6.8,38.8,7.5,66.0,19.0,5.705882352941180,,,,3,94305.149,280535.17,0.93,0.267,57.0,5.9,57.0,5.9,1.0,22.06,17.457,-22.68,-23.6518800227954,29.6199420514215,0.15,4.24387774134362E+27,28.7457925852239,28.7381057565576,3.90768161636559E+27,3.90768161636559E+27,4.19165843962495E+27,22.1306894773831,22.1230026487168,22.0921696642517,22.6065295449639,23.8441341526427
31,0946+2056,094636.42+205610.9,94636.426,0.09,205610.903,0.0,477.0,48.0,344.0,26.0,117.5,9.1,86.0,13.0,77.3,6.7,0.0,0.0,0.0,0.0,86.0,13.0,1.0,5.99876,0.09,7.0,80.7,6.5,72.0,11.0,11.5285714285714,,,,3,94636.39200000000,205611.03,0.42,0.28,110.0,9.6,110.0,9.6,1.0,22.39,17.321000000000000,-22.91,-23.909649020205000,29.7230496503853,0.26,4.48179884680854E+27,29.0773594010329,28.970465167118200,4.11422638256357E+27,4.11422638256357E+27,4.42611411189733E+27,22.4648107530793,22.3579165191647,22.3257535282703,22.8432167573176,41.121483032991
35,0952+2051,095236.13+205143.5,95236.132,0.03,205143.64,0.14,542.0,37.0,410.0,23.0,102.4,7.9,72.0,6.8,47.8,2.9,0.0,0.0,0.0,0.0,72.0,6.8,1.0,5.9987650000000000,0.143178210632764,3.9,47.8,3.5,62.2,7.4,12.2564102564103,,,,3,95236.165,205144.44,1.06,0.276,18.1,5.3,18.1,5.3,1.0,21.6,17.615,-22.59,-23.6148304073521,29.605122205244200,0.06,4.408315144721E+27,28.2796936264753,28.8793475480374,4.05053789278231E+27,4.05053789278231E+27,4.35370584912868E+27,21.6663618078353,22.2660157293974,22.2342605270818,22.7507722494452,33.2371870421144
36,0953+3801,095302.64+380145.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,17.1,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,,0.0,5.7,17.1,,17.1,,,,,,3,95302.72300000000,380145.62,1.07,0.273,33.2,4.1,33.2,4.1,1.0,21.85,17.493,-22.69,-23.6642896033709,29.6249058836517,0.09,4.35336368522288E+27,28.5325644486359,28.244422475324,4.00285074638462E+27,4.00285074638462E+27,4.29955563241967E+27,21.9186436142323,21.6305016409205,21.5990531198244,22.1148492526757,7.68601564810931
